url,gpu_name,store_name,fetch_ts,gpu_price,in_stock,gpu_model
https://www.regard.ru/catalog/tovar397914.htm,NVIDIA GeForce RTX3070 Palit JetStream OC 8Gb LHR (2218),Сеть компьютерных магазинов REGARD,1636209275.5091748,110 990 руб,True,GeForce RTX 3070
https://www.regard.ru/catalog/tovar401769.htm,NVIDIA GeForce RTX3070 Zotac Gaming Twin Edge OC LHR 8Gb (ZT-A30700H-10PLHR),Сеть компьютерных магазинов REGARD,1636209275.9786518,105 720 руб,True,GeForce RTX 3070
https://www.regard.ru/catalog/tovar399590.htm,NVIDIA GeForce RTX3080 ASUS 10Gb LHR (TUF-RTX3080-O10G-V2-GAMING),Сеть компьютерных магазинов REGARD,1636209276.4047875,183 140 руб,True,GeForce RTX 3080
https://www.regard.ru/catalog/tovar401634.htm,NVIDIA GeForce RTX3080 EVGA FTW3 Ultra 10Gb LHR (10G-P5-3897-KL),Сеть компьютерных магазинов REGARD,1636209277.4011726,163 840 руб,True,GeForce RTX 3080
https://www.regard.ru/catalog/tovar395140.htm,NVIDIA GeForce RTX3080 Gigabyte 10Gb LHR (GV-N3080AORUS X-10GD 2.0),Сеть компьютерных магазинов REGARD,1636209277.8091617,181 650 руб,True,GeForce RTX 3080
https://www.regard.ru/catalog/tovar394532.htm,NVIDIA GeForce RTX3080 Gigabyte 10Gb LHR (GV-N3080GAMING OC-10GD 2.0) ,Сеть компьютерных магазинов REGARD,1636209278.2812855,172 310 руб,True,GeForce RTX 3080
https://www.regard.ru/catalog/tovar396400.htm,NVIDIA GeForce RTX3080 Gigabyte 10Gb LHR (GV-N3080TURBO-10GD 2.0) ,Сеть компьютерных магазинов REGARD,1636209278.695205,162 110 руб,True,GeForce RTX 3080
https://www.regard.ru/catalog/tovar395435.htm,NVIDIA GeForce RTX3080 MSI 10Gb (RTX 3080 GAMING Z TRIO 10G LHR) ,Сеть компьютерных магазинов REGARD,1636209279.1467943,166 800 руб,True,GeForce RTX 3080
https://www.regard.ru/catalog/tovar406896.htm,NVIDIA GeForce RTX3080 PNY XLR8 GAMING REVEL EPIC-X LHR 10Gb (VCG308010LTFXP-BLK) OEM,Сеть компьютерных магазинов REGARD,1636209279.584721,177 410 руб,True,GeForce RTX 3080
https://www.regard.ru/catalog/tovar241659.htm,NVIDIA Kepler Sync2 PNY (VCQPQUADROSYNC2-PB),Сеть компьютерных магазинов REGARD,1636209280.0131876,80 760 руб,True,No information
https://www.regard.ru/catalog/tovar291924.htm,NVIDIA Quadro GP100 nVidia 16Gb RTL,Сеть компьютерных магазинов REGARD,1636209280.4849184,575 240 руб,True,Quadro GP100
